timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,latitude,longitude,speed
0,0.12,0.08,9.81,0.01,0.02,0.05,25.2,4.1,40.3,22.7196,75.8577,2.5
1,0.15,0.10,9.80,0.02,0.03,0.06,25.1,4.2,40.4,22.7197,75.8578,2.6
2,0.18,0.12,9.79,0.02,0.04,0.07,25.0,4.3,40.5,22.7198,75.8579,2.8
3,0.20,0.15,9.82,0.03,0.04,0.08,24.9,4.4,40.6,22.7199,75.8580,3.0
4,0.23,0.17,9.81,0.03,0.05,0.09,24.8,4.5,40.7,22.7200,75.8581,3.2
5,0.25,0.20,9.80,0.04,0.05,0.10,24.7,4.6,40.8,22.7201,75.8582,3.4
6,0.28,0.22,9.79,0.04,0.06,0.11,24.6,4.7,40.9,22.7202,75.8583,3.5
7,0.30,0.25,9.81,0.05,0.07,0.12,24.5,4.8,41.0,22.7203,75.8584,3.7
8,0.32,0.27,9.80,0.05,0.07,0.13,24.4,4.9,41.1,22.7204,75.8585,3.9
9,0.35,0.30,9.82,0.06,0.08,0.14,24.3,5.0,41.2,22.7205,75.8586,4.0
